                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.98551,                0.93849,                 1.1968,                 0.8614,                 0.6689,                0.73224,                 0.4149,                 1.4973,                 0.9945,                 1.5828,              0.0004878,              0.0004878,              0.0004878
                     35,                 0.9723,                0.92279,                 1.1868,                0.85859,                0.64645,                0.72146,                 0.3932,                 1.5715,                 1.0352,                 1.6158,             0.00048074,             0.00048074,             0.00048074
                     36,                  0.965,                0.92866,                 1.1819,                0.83997,                0.66685,                0.71766,                0.39019,                 1.5552,                  1.017,                 1.6579,             0.00047367,             0.00047367,             0.00047367
                     37,                0.97217,                0.91335,                 1.1893,                0.82708,                0.67263,                0.73256,                0.41078,                 1.5198,                 1.0114,                 1.6003,              0.0004666,              0.0004666,              0.0004666
                     38,                0.95971,                0.90362,                 1.1788,                0.87805,                0.67435,                0.74884,                 0.4067,                 1.5417,                0.98873,                 1.6433,             0.00045953,             0.00045953,             0.00045953
                     39,                0.96365,                0.90298,                 1.1784,                0.82916,                0.68134,                0.74139,                0.40656,                 1.5226,                0.97475,                 1.6019,             0.00045246,             0.00045246,             0.00045246
                     40,                0.96077,                0.89899,                  1.183,                0.85662,                0.65773,                 0.7393,                0.40895,                 1.4911,                0.97446,                 1.5593,             0.00044539,             0.00044539,             0.00044539
                     41,                0.95327,                0.89123,                 1.1737,                0.85227,                0.66983,                0.74148,                0.40819,                 1.5216,                0.96833,                 1.5984,             0.00043832,             0.00043832,             0.00043832
                     42,                0.95031,                0.88622,                 1.1725,                0.84241,                0.65106,                0.73119,                0.41377,                 1.4895,                0.95986,                 1.5717,             0.00043126,             0.00043126,             0.00043126
                     43,                0.94916,                0.88052,                  1.173,                 0.8517,                0.66518,                0.73162,                0.39769,                 1.5216,                0.99271,                  1.611,             0.00042419,             0.00042419,             0.00042419
                     44,                0.94214,                0.87092,                 1.1586,                 0.8337,                0.67805,                0.74178,                0.41715,                  1.466,                0.97751,                 1.5616,             0.00041712,             0.00041712,             0.00041712
                     45,                0.94041,                0.86693,                 1.1687,                0.85922,                  0.654,                0.73669,                0.41686,                 1.4743,                0.93652,                 1.5772,             0.00041005,             0.00041005,             0.00041005
